,date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
0,2021-08-04,asian,0-17,22067,0.051,4,0.133,0.13
1,2021-08-04,asian,18+,212832,0.078,7949,0.126,0.165
2,2021-08-04,asian,18-34,72042,0.068,69,0.075,0.151
3,2021-08-04,asian,35-49,51508,0.069,212,0.062,0.175
4,2021-08-04,asian,50-64,49718,0.084,1099,0.087,0.167
5,2021-08-04,asian,65-79,24411,0.1,2565,0.118,0.172
6,2021-08-04,asian,80+,10525,0.116,3971,0.162,0.172
7,2021-08-04,asian,all,234981,0.075,7954,0.126,0.157
8,2021-08-04,black,0-17,16882,0.039,4,0.133,0.054
9,2021-08-04,black,18+,131186,0.048,4093,0.065,0.061
10,2021-08-04,black,18-34,48973,0.047,80,0.088,0.065
11,2021-08-04,black,35-49,32931,0.044,223,0.065,0.059
12,2021-08-04,black,50-64,30659,0.052,873,0.069,0.064
13,2021-08-04,black,65-79,13780,0.057,1500,0.069,0.055
14,2021-08-04,black,80+,4843,0.053,1417,0.058,0.048
15,2021-08-04,black,all,148131,0.047,4097,0.065,0.06
16,2021-08-04,cdph-other,0-17,47734,0.111,2,0.067,0.0
17,2021-08-04,cdph-other,18+,257172,0.094,854,0.014,0.0
18,2021-08-04,cdph-other,18-34,108232,0.103,24,0.026,0.0
19,2021-08-04,cdph-other,35-49,73086,0.098,48,0.014,0.0
20,2021-08-04,cdph-other,50-64,52105,0.088,167,0.013,0.0
21,2021-08-04,cdph-other,65-79,17788,0.073,306,0.014,0.0
22,2021-08-04,cdph-other,80+,5961,0.066,309,0.013,0.0
23,2021-08-04,cdph-other,all,305032,0.097,856,0.014,0.0
24,2021-08-04,latino,0-17,275549,0.639,14,0.467,0.479
25,2021-08-04,latino,18+,1464586,0.538,29279,0.463,0.363
26,2021-08-04,latino,18-34,608777,0.579,628,0.6900000000000001,0.45
27,2021-08-04,latino,35-49,430258,0.577,2489,0.724,0.415
28,2021-08-04,latino,50-64,301374,0.509,8082,0.639,0.322
29,2021-08-04,latino,65-79,98082,0.403,10543,0.487,0.218
30,2021-08-04,latino,80+,26092,0.287,7537,0.306,0.196
31,2021-08-04,latino,all,1740701,0.552,29294,0.463,0.389
32,2021-08-04,other,0-17,9324,0.021,1,0.033,0.044
33,2021-08-04,other,18+,58386,0.022,1204,0.019,0.022
34,2021-08-04,other,18-34,22210,0.021,16,0.017,0.032
35,2021-08-04,other,35-49,16006,0.022,79,0.023,0.021
36,2021-08-04,other,50-64,12918,0.022,219,0.017,0.017
37,2021-08-04,other,65-79,5409,0.022,444,0.021,0.015
38,2021-08-04,other,80+,1843,0.02,446,0.018,0.013
39,2021-08-04,other,all,67725,0.022,1205,0.019,0.027
40,2021-08-04,white,0-17,59397,0.138,5,0.167,0.292
41,2021-08-04,white,18+,598826,0.22,19873,0.314,0.388
42,2021-08-04,white,18-34,190314,0.181,93,0.102,0.302
43,2021-08-04,white,35-49,137783,0.185,355,0.103,0.325
44,2021-08-04,white,50-64,144989,0.245,2211,0.175,0.43
45,2021-08-04,white,65-79,84080,0.345,6297,0.291,0.54
46,2021-08-04,white,80+,41660,0.458,10917,0.444,0.5720000000000001
47,2021-08-04,white,all,658519,0.209,19883,0.314,0.366
48,2021-07-28,asian,0-17,21436,0.051,4,0.143,0.13
49,2021-07-28,asian,18+,209478,0.078,7887,0.125,0.165
50,2021-07-28,asian,18-34,70522,0.068,67,0.074,0.151
51,2021-07-28,asian,35-49,50629,0.069,210,0.062,0.175
52,2021-07-28,asian,50-64,49206,0.084,1086,0.086,0.167
53,2021-07-28,asian,65-79,24176,0.101,2545,0.118,0.172
54,2021-07-28,asian,80+,10454,0.116,3947,0.161,0.172
55,2021-07-28,asian,all,230996,0.075,7892,0.126,0.157
56,2021-07-28,black,0-17,15800,0.038,3,0.107,0.054
57,2021-07-28,black,18+,126406,0.047,4059,0.064,0.061
58,2021-07-28,black,18-34,46757,0.045,79,0.088,0.065
59,2021-07-28,black,35-49,31604,0.043,218,0.064,0.059
60,2021-07-28,black,50-64,29767,0.051,863,0.069,0.064
61,2021-07-28,black,65-79,13497,0.056,1488,0.069,0.055
62,2021-07-28,black,80+,4781,0.053,1411,0.058,0.048
63,2021-07-28,black,all,142268,0.046,4062,0.064,0.06
64,2021-07-28,cdph-other,0-17,46434,0.11,1,0.036,0.0
65,2021-07-28,cdph-other,18+,252264,0.094,837,0.013,0.0
66,2021-07-28,cdph-other,18-34,105951,0.103,22,0.025,0.0
67,2021-07-28,cdph-other,35-49,71556,0.098,48,0.014,0.0
68,2021-07-28,cdph-other,50-64,51305,0.088,159,0.013,0.0
69,2021-07-28,cdph-other,65-79,17549,0.073,300,0.014,0.0
70,2021-07-28,cdph-other,80+,5903,0.066,308,0.013,0.0
71,2021-07-28,cdph-other,all,298824,0.096,838,0.013,0.0
72,2021-07-28,latino,0-17,271414,0.644,14,0.5,0.479
73,2021-07-28,latino,18+,1447682,0.541,29186,0.464,0.363
74,2021-07-28,latino,18-34,600110,0.583,624,0.6960000000000001,0.45
75,2021-07-28,latino,35-49,425389,0.58,2473,0.725,0.415
76,2021-07-28,latino,50-64,298901,0.512,8053,0.641,0.322
77,2021-07-28,latino,65-79,97350,0.405,10515,0.488,0.218
78,2021-07-28,latino,80+,25929,0.288,7521,0.307,0.196
79,2021-07-28,latino,all,1719659,0.555,29201,0.464,0.389
80,2021-07-28,other,0-17,9053,0.021,1,0.036,0.044
81,2021-07-28,other,18+,57115,0.021,1204,0.019,0.022
82,2021-07-28,other,18-34,21655,0.021,15,0.017,0.032
83,2021-07-28,other,35-49,15636,0.022,78,0.023,0.021
84,2021-07-28,other,50-64,12685,0.022,219,0.017,0.017
85,2021-07-28,other,65-79,5312,0.022,445,0.021,0.015
86,2021-07-28,other,80+,1827,0.02,447,0.018,0.013
87,2021-07-28,other,all,66184,0.021,1205,0.019,0.027
88,2021-07-28,white,0-17,57016,0.135,5,0.179,0.292
89,2021-07-28,white,18+,583292,0.218,19787,0.314,0.388
90,2021-07-28,white,18-34,184589,0.179,90,0.1,0.302
91,2021-07-28,white,35-49,133581,0.182,351,0.103,0.325
92,2021-07-28,white,50-64,141520,0.243,2183,0.174,0.43
93,2021-07-28,white,65-79,82424,0.343,6269,0.291,0.54
94,2021-07-28,white,80+,41178,0.457,10894,0.444,0.5720000000000001
95,2021-07-28,white,all,640603,0.207,19797,0.314,0.366
96,2021-07-21,asian,0-17,20987,0.05,4,0.143,0.13
97,2021-07-21,asian,18+,206745,0.078,7860,0.125,0.165
98,2021-07-21,asian,18-34,69242,0.068,65,0.074,0.151
99,2021-07-21,asian,35-49,49908,0.069,209,0.062,0.175
100,2021-07-21,asian,50-64,48768,0.084,1083,0.086,0.167
101,2021-07-21,asian,65-79,24025,0.101,2538,0.118,0.172
102,2021-07-21,asian,80+,10402,0.116,3934,0.161,0.172
103,2021-07-21,asian,all,227814,0.075,7865,0.125,0.157
104,2021-07-21,black,0-17,14964,0.036,3,0.107,0.054
105,2021-07-21,black,18+,122509,0.046,4027,0.064,0.061
106,2021-07-21,black,18-34,44800,0.044,79,0.089,0.065
107,2021-07-21,black,35-49,30510,0.042,213,0.063,0.059
108,2021-07-21,black,50-64,29164,0.051,852,0.068,0.064
109,2021-07-21,black,65-79,13292,0.056,1481,0.069,0.055
110,2021-07-21,black,80+,4743,0.053,1402,0.057,0.048
111,2021-07-21,black,all,137535,0.045,4030,0.064,0.06
112,2021-07-21,cdph-other,0-17,45657,0.11,1,0.036,0.0
113,2021-07-21,cdph-other,18+,248771,0.094,830,0.013,0.0
114,2021-07-21,cdph-other,18-34,104262,0.103,21,0.024,0.0
115,2021-07-21,cdph-other,35-49,70500,0.098,47,0.014,0.0
116,2021-07-21,cdph-other,50-64,50790,0.088,158,0.013,0.0
117,2021-07-21,cdph-other,65-79,17362,0.073,298,0.014,0.0
118,2021-07-21,cdph-other,80+,5857,0.065,306,0.013,0.0
119,2021-07-21,cdph-other,all,294554,0.096,831,0.013,0.0
120,2021-07-21,latino,0-17,268499,0.648,14,0.5,0.479
121,2021-07-21,latino,18+,1435191,0.544,29124,0.464,0.363
122,2021-07-21,latino,18-34,593535,0.586,617,0.6960000000000001,0.45
123,2021-07-21,latino,35-49,421807,0.584,2467,0.727,0.415
124,2021-07-21,latino,50-64,297151,0.515,8031,0.642,0.322
125,2021-07-21,latino,65-79,96867,0.407,10504,0.488,0.218
126,2021-07-21,latino,80+,25828,0.289,7505,0.307,0.196
127,2021-07-21,latino,all,1704247,0.558,29139,0.464,0.389
128,2021-07-21,other,0-17,8760,0.021,1,0.036,0.044
129,2021-07-21,other,18+,55862,0.021,1200,0.019,0.022
130,2021-07-21,other,18-34,21090,0.021,15,0.017,0.032
131,2021-07-21,other,35-49,15254,0.022,77,0.023,0.021
132,2021-07-21,other,50-64,12460,0.022,219,0.017,0.017
133,2021-07-21,other,65-79,5245,0.022,444,0.021,0.015
134,2021-07-21,other,80+,1813,0.02,445,0.018,0.013
135,2021-07-21,other,all,64637,0.021,1201,0.019,0.027
136,2021-07-21,white,0-17,55305,0.134,5,0.179,0.292
137,2021-07-21,white,18+,571447,0.216,19725,0.314,0.388
138,2021-07-21,white,18-34,179886,0.178,90,0.101,0.302
139,2021-07-21,white,35-49,130420,0.18,350,0.103,0.325
140,2021-07-21,white,50-64,139085,0.241,2174,0.174,0.43
141,2021-07-21,white,65-79,81250,0.341,6247,0.29,0.54
142,2021-07-21,white,80+,40806,0.456,10864,0.444,0.5720000000000001
143,2021-07-21,white,all,627046,0.205,19735,0.314,0.366
144,2021-07-14,asian,0-17,20647,0.05,4,0.143,0.13
145,2021-07-14,asian,18+,204810,0.078,7850,0.125,0.165
146,2021-07-14,asian,18-34,68322,0.068,65,0.074,0.151
147,2021-07-14,asian,35-49,49384,0.069,208,0.062,0.175
148,2021-07-14,asian,50-64,48503,0.084,1083,0.086,0.167
149,2021-07-14,asian,65-79,23886,0.101,2533,0.118,0.172
150,2021-07-14,asian,80+,10370,0.116,3931,0.161,0.172
151,2021-07-14,asian,all,225541,0.075,7855,0.125,0.157
152,2021-07-14,black,0-17,14424,0.035,3,0.107,0.054
153,2021-07-14,black,18+,119284,0.046,4010,0.064,0.061
154,2021-07-14,black,18-34,43126,0.043,77,0.088,0.065
155,2021-07-14,black,35-49,29628,0.041,210,0.062,0.059
156,2021-07-14,black,50-64,28684,0.05,847,0.068,0.064
157,2021-07-14,black,65-79,13137,0.056,1479,0.069,0.055
158,2021-07-14,black,80+,4709,0.053,1397,0.057,0.048
159,2021-07-14,black,all,133769,0.044,4013,0.064,0.06
160,2021-07-14,cdph-other,0-17,45037,0.11,1,0.036,0.0
161,2021-07-14,cdph-other,18+,246051,0.094,835,0.013,0.0
162,2021-07-14,cdph-other,18-34,102839,0.103,20,0.023,0.0
163,2021-07-14,cdph-other,35-49,69700,0.097,47,0.014,0.0
164,2021-07-14,cdph-other,50-64,50412,0.088,161,0.013,0.0
165,2021-07-14,cdph-other,65-79,17256,0.073,298,0.014,0.0
166,2021-07-14,cdph-other,80+,5844,0.066,309,0.013,0.0
167,2021-07-14,cdph-other,all,291215,0.096,836,0.013,0.0
168,2021-07-14,latino,0-17,266619,0.651,14,0.5,0.479
169,2021-07-14,latino,18+,1426880,0.545,29063,0.464,0.363
170,2021-07-14,latino,18-34,589108,0.589,613,0.6970000000000001,0.45
171,2021-07-14,latino,35-49,419541,0.586,2462,0.729,0.415
172,2021-07-14,latino,50-64,295946,0.516,8006,0.642,0.322
173,2021-07-14,latino,65-79,96546,0.408,10486,0.489,0.218
174,2021-07-14,latino,80+,25736,0.289,7496,0.307,0.196
175,2021-07-14,latino,all,1694057,0.56,29078,0.464,0.389
176,2021-07-14,other,0-17,8586,0.021,1,0.036,0.044
177,2021-07-14,other,18+,55043,0.021,1189,0.019,0.022
178,2021-07-14,other,18-34,20707,0.02,15,0.017,0.032
179,2021-07-14,other,35-49,15017,0.021,77,0.023,0.021
180,2021-07-14,other,50-64,12329,0.022,220,0.017,0.017
181,2021-07-14,other,65-79,5199,0.022,439,0.02,0.015
182,2021-07-14,other,80+,1791,0.02,438,0.018,0.013
183,2021-07-14,other,all,63643,0.021,1190,0.019,0.027
184,2021-07-14,white,0-17,54312,0.133,5,0.179,0.292
185,2021-07-14,white,18+,563717,0.216,19656,0.314,0.388
186,2021-07-14,white,18-34,176730,0.177,89,0.101,0.302
187,2021-07-14,white,35-49,128363,0.179,343,0.102,0.325
188,2021-07-14,white,50-64,137499,0.24,2160,0.173,0.43
189,2021-07-14,white,65-79,80533,0.34,6229,0.29,0.54
190,2021-07-14,white,80+,40592,0.456,10835,0.444,0.5720000000000001
191,2021-07-14,white,all,618322,0.204,19666,0.314,0.366
192,2021-07-07,asian,0-17,20466,0.05,4,0.143,0.13
193,2021-07-07,asian,18+,203540,0.078,7839,0.125,0.165
194,2021-07-07,asian,18-34,67656,0.068,65,0.075,0.151
195,2021-07-07,asian,35-49,49067,0.069,206,0.061,0.175
196,2021-07-07,asian,50-64,48338,0.085,1081,0.087,0.167
197,2021-07-07,asian,65-79,23813,0.101,2532,0.118,0.172
198,2021-07-07,asian,80+,10351,0.116,3927,0.162,0.172
199,2021-07-07,asian,all,224091,0.075,7844,0.125,0.157
200,2021-07-07,black,0-17,14081,0.035,3,0.107,0.054
201,2021-07-07,black,18+,117141,0.045,3999,0.064,0.061
202,2021-07-07,black,18-34,41965,0.042,77,0.089,0.065
203,2021-07-07,black,35-49,29064,0.041,207,0.062,0.059
204,2021-07-07,black,50-64,28374,0.05,844,0.068,0.064
205,2021-07-07,black,65-79,13045,0.055,1477,0.069,0.055
206,2021-07-07,black,80+,4693,0.053,1394,0.057,0.048
207,2021-07-07,black,all,131286,0.044,4002,0.064,0.06
208,2021-07-07,cdph-other,0-17,44742,0.11,1,0.036,0.0
209,2021-07-07,cdph-other,18+,244436,0.094,818,0.013,0.0
210,2021-07-07,cdph-other,18-34,101953,0.103,18,0.021,0.0
211,2021-07-07,cdph-other,35-49,69219,0.097,46,0.014,0.0
212,2021-07-07,cdph-other,50-64,50219,0.088,159,0.013,0.0
213,2021-07-07,cdph-other,65-79,17205,0.073,290,0.014,0.0
214,2021-07-07,cdph-other,80+,5840,0.066,305,0.013,0.0
215,2021-07-07,cdph-other,all,289307,0.096,819,0.013,0.0
216,2021-07-07,latino,0-17,265383,0.652,14,0.5,0.479
217,2021-07-07,latino,18+,1421368,0.547,28995,0.465,0.363
218,2021-07-07,latino,18-34,586184,0.59,607,0.6990000000000001,0.45
219,2021-07-07,latino,35-49,418034,0.587,2453,0.73,0.415
220,2021-07-07,latino,50-64,295151,0.517,7990,0.643,0.322
221,2021-07-07,latino,65-79,96314,0.409,10467,0.489,0.218
222,2021-07-07,latino,80+,25683,0.289,7478,0.307,0.196
223,2021-07-07,latino,all,1687319,0.561,29010,0.465,0.389
224,2021-07-07,other,0-17,8468,0.02,1,0.036,0.044
225,2021-07-07,other,18+,54465,0.021,1176,0.019,0.022
226,2021-07-07,other,18-34,20437,0.02,15,0.018,0.032
227,2021-07-07,other,35-49,14856,0.021,78,0.024,0.021
228,2021-07-07,other,50-64,12227,0.022,214,0.018,0.017
229,2021-07-07,other,65-79,5164,0.021,433,0.02,0.015
230,2021-07-07,other,80+,1781,0.02,436,0.018,0.013
231,2021-07-07,other,all,62947,0.02,1177,0.019,0.027
232,2021-07-07,white,0-17,53656,0.132,5,0.179,0.292
233,2021-07-07,white,18+,558676,0.215,19572,0.314,0.388
234,2021-07-07,white,18-34,174639,0.176,87,0.1,0.302
235,2021-07-07,white,35-49,127094,0.179,340,0.101,0.325
236,2021-07-07,white,50-64,136406,0.239,2143,0.172,0.43
237,2021-07-07,white,65-79,80096,0.34,6196,0.29,0.54
238,2021-07-07,white,80+,40441,0.455,10806,0.444,0.5720000000000001
239,2021-07-07,white,all,612627,0.204,19582,0.314,0.366
240,2021-06-30,asian,0-17,20377,0.05,4,0.173,0.13
241,2021-06-30,asian,18+,202932,0.079,7824,0.125,0.165
242,2021-06-30,asian,18-34,67351,0.068,64,0.075,0.151
243,2021-06-30,asian,35-49,48935,0.069,204,0.061,0.175
244,2021-06-30,asian,50-64,48236,0.085,1077,0.087,0.167
245,2021-06-30,asian,65-79,23764,0.101,2532,0.119,0.172
246,2021-06-30,asian,80+,10339,0.116,3919,0.162,0.172
247,2021-06-30,asian,all,223394,0.075,7829,0.125,0.157
248,2021-06-30,black,0-17,13892,0.034,2,0.087,0.054
249,2021-06-30,black,18+,116121,0.045,3980,0.064,0.061
250,2021-06-30,black,18-34,41453,0.042,76,0.088,0.065
251,2021-06-30,black,35-49,28801,0.041,206,0.062,0.059
252,2021-06-30,black,50-64,28194,0.05,840,0.068,0.064
253,2021-06-30,black,65-79,12990,0.055,1471,0.069,0.055
254,2021-06-30,black,80+,4683,0.053,1387,0.057,0.048
255,2021-06-30,black,all,130078,0.043,3982,0.064,0.06
256,2021-06-30,cdph-other,0-17,44519,0.11,1,0.043,0.0
257,2021-06-30,cdph-other,18+,243606,0.094,805,0.013,0.0
258,2021-06-30,cdph-other,18-34,101491,0.103,18,0.021,0.0
259,2021-06-30,cdph-other,35-49,68969,0.097,46,0.014,0.0
260,2021-06-30,cdph-other,50-64,50129,0.088,154,0.012,0.0
261,2021-06-30,cdph-other,65-79,17172,0.073,287,0.013,0.0
262,2021-06-30,cdph-other,80+,5845,0.066,300,0.012,0.0
263,2021-06-30,cdph-other,all,288252,0.096,806,0.013,0.0
264,2021-06-30,latino,0-17,264670,0.653,10,0.435,0.479
265,2021-06-30,latino,18+,1418539,0.547,28926,0.465,0.363
266,2021-06-30,latino,18-34,584753,0.591,600,0.6980000000000001,0.45
267,2021-06-30,latino,35-49,417198,0.588,2439,0.731,0.415
268,2021-06-30,latino,50-64,294762,0.518,7972,0.644,0.322
269,2021-06-30,latino,65-79,96183,0.409,10452,0.49,0.218
270,2021-06-30,latino,80+,25640,0.289,7463,0.307,0.196
271,2021-06-30,latino,all,1683774,0.562,28937,0.465,0.389
272,2021-06-30,other,0-17,8409,0.02,1,0.043,0.044
273,2021-06-30,other,18+,54201,0.02,1164,0.019,0.022
274,2021-06-30,other,18-34,20348,0.02,15,0.018,0.032
275,2021-06-30,other,35-49,14768,0.021,76,0.023,0.021
276,2021-06-30,other,50-64,12166,0.022,213,0.017,0.017
277,2021-06-30,other,65-79,5147,0.021,430,0.02,0.015
278,2021-06-30,other,80+,1772,0.02,430,0.018,0.013
279,2021-06-30,other,all,62625,0.02,1165,0.019,0.027
280,2021-06-30,white,0-17,53357,0.132,5,0.217,0.292
281,2021-06-30,white,18+,556289,0.215,19492,0.313,0.388
282,2021-06-30,white,18-34,173768,0.176,86,0.1,0.302
283,2021-06-30,white,35-49,126464,0.178,336,0.101,0.325
284,2021-06-30,white,50-64,135877,0.239,2127,0.172,0.43
285,2021-06-30,white,65-79,79822,0.34,6172,0.289,0.54
286,2021-06-30,white,80+,40358,0.455,10771,0.444,0.5720000000000001
287,2021-06-30,white,all,609941,0.203,19502,0.313,0.366
288,2021-06-23,asian,0-17,20341,0.05,4,0.173,0.13
289,2021-06-23,asian,18+,202838,0.079,7819,0.126,0.165
290,2021-06-23,asian,18-34,67235,0.068,62,0.073,0.151
291,2021-06-23,asian,35-49,48905,0.069,202,0.061,0.175
292,2021-06-23,asian,50-64,48248,0.085,1075,0.087,0.167
293,2021-06-23,asian,65-79,23798,0.102,2530,0.119,0.172
294,2021-06-23,asian,80+,10360,0.117,3921,0.162,0.172
295,2021-06-23,asian,all,223261,0.075,7823,0.126,0.157
296,2021-06-23,black,0-17,13734,0.034,2,0.087,0.054
297,2021-06-23,black,18+,115376,0.045,3966,0.064,0.061
298,2021-06-23,black,18-34,41101,0.042,76,0.089,0.065
299,2021-06-23,black,35-49,28609,0.04,202,0.061,0.059
300,2021-06-23,black,50-64,28057,0.049,837,0.068,0.064
301,2021-06-23,black,65-79,12940,0.055,1471,0.069,0.055
302,2021-06-23,black,80+,4669,0.053,1380,0.057,0.048
303,2021-06-23,black,all,129175,0.043,3968,0.064,0.06
304,2021-06-23,cdph-other,0-17,44583,0.11,1,0.043,0.0
305,2021-06-23,cdph-other,18+,244006,0.094,799,0.013,0.0
306,2021-06-23,cdph-other,18-34,101589,0.103,18,0.021,0.0
307,2021-06-23,cdph-other,35-49,69128,0.098,45,0.014,0.0
308,2021-06-23,cdph-other,50-64,50224,0.088,151,0.012,0.0
309,2021-06-23,cdph-other,65-79,17209,0.073,283,0.013,0.0
310,2021-06-23,cdph-other,80+,5856,0.066,302,0.012,0.0
311,2021-06-23,cdph-other,all,288716,0.096,800,0.013,0.0
312,2021-06-23,latino,0-17,264057,0.653,10,0.435,0.479
313,2021-06-23,latino,18+,1415940,0.547,28818,0.465,0.363
314,2021-06-23,latino,18-34,583333,0.591,594,0.6980000000000001,0.45
315,2021-06-23,latino,35-49,416439,0.588,2428,0.733,0.415
316,2021-06-23,latino,50-64,294435,0.518,7938,0.645,0.322
317,2021-06-23,latino,65-79,96097,0.409,10409,0.49,0.218
318,2021-06-23,latino,80+,25633,0.289,7449,0.308,0.196
319,2021-06-23,latino,all,1680558,0.562,28829,0.465,0.389
320,2021-06-23,other,0-17,8360,0.02,1,0.043,0.044
321,2021-06-23,other,18+,53867,0.02,1145,0.019,0.022
322,2021-06-23,other,18-34,20261,0.02,16,0.019,0.032
323,2021-06-23,other,35-49,14646,0.021,74,0.023,0.021
324,2021-06-23,other,50-64,12089,0.022,205,0.016,0.017
325,2021-06-23,other,65-79,5113,0.021,424,0.02,0.015
326,2021-06-23,other,80+,1758,0.02,426,0.018,0.013
327,2021-06-23,other,all,62243,0.02,1146,0.019,0.027
328,2021-06-23,white,0-17,53147,0.131,5,0.217,0.292
329,2021-06-23,white,18+,554588,0.214,19385,0.313,0.388
330,2021-06-23,white,18-34,173126,0.175,85,0.1,0.302
331,2021-06-23,white,35-49,125981,0.178,332,0.1,0.325
332,2021-06-23,white,50-64,135510,0.238,2108,0.171,0.43
333,2021-06-23,white,65-79,79631,0.339,6143,0.289,0.54
334,2021-06-23,white,80+,40340,0.455,10717,0.443,0.5720000000000001
335,2021-06-23,white,all,608034,0.203,19395,0.313,0.366
336,2021-06-16,asian,0-17,20280,0.05,4,0.173,0.13
337,2021-06-16,asian,18+,202411,0.079,7796,0.126,0.165
338,2021-06-16,asian,18-34,67078,0.068,61,0.072,0.151
339,2021-06-16,asian,35-49,48781,0.069,204,0.062,0.175
340,2021-06-16,asian,50-64,48167,0.085,1076,0.088,0.167
341,2021-06-16,asian,65-79,23756,0.102,2518,0.119,0.172
342,2021-06-16,asian,80+,10347,0.117,3909,0.163,0.172
343,2021-06-16,asian,all,222771,0.075,7800,0.126,0.157
344,2021-06-16,black,0-17,13629,0.034,2,0.087,0.054
345,2021-06-16,black,18+,114769,0.044,3942,0.064,0.061
346,2021-06-16,black,18-34,40829,0.041,75,0.089,0.065
347,2021-06-16,black,35-49,28438,0.04,199,0.06,0.059
348,2021-06-16,black,50-64,27947,0.049,828,0.068,0.064
349,2021-06-16,black,65-79,12898,0.055,1466,0.069,0.055
350,2021-06-16,black,80+,4657,0.053,1374,0.057,0.048
351,2021-06-16,black,all,128462,0.043,3944,0.064,0.06
352,2021-06-16,cdph-other,0-17,44548,0.111,1,0.043,0.0
353,2021-06-16,cdph-other,18+,243745,0.094,792,0.013,0.0
354,2021-06-16,cdph-other,18-34,101444,0.103,18,0.021,0.0
355,2021-06-16,cdph-other,35-49,69057,0.098,44,0.013,0.0
356,2021-06-16,cdph-other,50-64,50194,0.088,149,0.012,0.0
357,2021-06-16,cdph-other,65-79,17201,0.073,280,0.013,0.0
358,2021-06-16,cdph-other,80+,5849,0.066,301,0.012,0.0
359,2021-06-16,cdph-other,all,288420,0.097,793,0.013,0.0
360,2021-06-16,latino,0-17,263373,0.654,10,0.435,0.479
361,2021-06-16,latino,18+,1412984,0.548,28731,0.466,0.363
362,2021-06-16,latino,18-34,581925,0.591,594,0.7010000000000001,0.45
363,2021-06-16,latino,35-49,415582,0.588,2418,0.734,0.415
364,2021-06-16,latino,50-64,293943,0.518,7914,0.646,0.322
365,2021-06-16,latino,65-79,95932,0.409,10379,0.491,0.218
366,2021-06-16,latino,80+,25600,0.289,7426,0.308,0.196
367,2021-06-16,latino,all,1676915,0.562,28742,0.466,0.389
368,2021-06-16,other,0-17,8281,0.02,1,0.043,0.044
369,2021-06-16,other,18+,53614,0.02,1122,0.019,0.022
370,2021-06-16,other,18-34,20157,0.02,15,0.018,0.032
371,2021-06-16,other,35-49,14577,0.021,71,0.021,0.021
372,2021-06-16,other,50-64,12040,0.022,197,0.016,0.017
373,2021-06-16,other,65-79,5094,0.021,421,0.02,0.015
374,2021-06-16,other,80+,1746,0.02,418,0.017,0.013
375,2021-06-16,other,all,61911,0.02,1123,0.019,0.027
376,2021-06-16,white,0-17,52894,0.131,5,0.217,0.292
377,2021-06-16,white,18+,552727,0.214,19270,0.313,0.388
378,2021-06-16,white,18-34,172508,0.175,84,0.099,0.302
379,2021-06-16,white,35-49,125513,0.178,331,0.1,0.325
380,2021-06-16,white,50-64,135042,0.238,2096,0.171,0.43
381,2021-06-16,white,65-79,79415,0.339,6095,0.288,0.54
382,2021-06-16,white,80+,40249,0.455,10664,0.443,0.5720000000000001
383,2021-06-16,white,all,605922,0.203,19280,0.313,0.366
384,2021-06-09,asian,0-17,20210,0.05,4,0.173,0.13
385,2021-06-09,asian,18+,201975,0.079,7792,0.126,0.165
386,2021-06-09,asian,18-34,66909,0.068,61,0.072,0.151
387,2021-06-09,asian,35-49,48663,0.069,206,0.063,0.175
388,2021-06-09,asian,50-64,48083,0.085,1079,0.088,0.167
389,2021-06-09,asian,65-79,23713,0.102,2507,0.119,0.172
390,2021-06-09,asian,80+,10335,0.117,3913,0.163,0.172
391,2021-06-09,asian,all,222264,0.075,7796,0.126,0.157
392,2021-06-09,black,0-17,13531,0.034,2,0.087,0.054
393,2021-06-09,black,18+,114266,0.044,3928,0.064,0.061
394,2021-06-09,black,18-34,40613,0.041,76,0.089,0.065
395,2021-06-09,black,35-49,28290,0.04,199,0.061,0.059
396,2021-06-09,black,50-64,27840,0.049,819,0.067,0.064
397,2021-06-09,black,65-79,12870,0.055,1463,0.069,0.055
398,2021-06-09,black,80+,4653,0.053,1371,0.057,0.048
399,2021-06-09,black,all,127863,0.043,3930,0.064,0.06
400,2021-06-09,cdph-other,0-17,44479,0.111,1,0.043,0.0
401,2021-06-09,cdph-other,18+,243631,0.095,847,0.014,0.0
402,2021-06-09,cdph-other,18-34,101341,0.103,18,0.021,0.0
403,2021-06-09,cdph-other,35-49,69010,0.098,48,0.015,0.0
404,2021-06-09,cdph-other,50-64,50212,0.089,156,0.013,0.0
405,2021-06-09,cdph-other,65-79,17215,0.074,306,0.014,0.0
406,2021-06-09,cdph-other,80+,5853,0.066,319,0.013,0.0
407,2021-06-09,cdph-other,all,288240,0.097,848,0.014,0.0
408,2021-06-09,latino,0-17,262820,0.654,10,0.435,0.479
409,2021-06-09,latino,18+,1410399,0.548,28627,0.465,0.363
410,2021-06-09,latino,18-34,580765,0.592,591,0.6950000000000001,0.45
411,2021-06-09,latino,35-49,414871,0.589,2404,0.731,0.415
412,2021-06-09,latino,50-64,293459,0.518,7869,0.644,0.322
413,2021-06-09,latino,65-79,95758,0.409,10353,0.49,0.218
414,2021-06-09,latino,80+,25545,0.289,7410,0.307,0.196
415,2021-06-09,latino,all,1673777,0.562,28638,0.465,0.389
416,2021-06-09,other,0-17,8213,0.02,1,0.043,0.044
417,2021-06-09,other,18+,53396,0.02,1107,0.018,0.022
418,2021-06-09,other,18-34,20083,0.02,16,0.019,0.032
