Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
26-Apr-2020,8,354423,0.285714285714286,8.0613923395007e-05,3,43782,0.142857142857143,0.000326291952987855,3,133314,0.142857142857143,0.000107158395110148,16,298108,0.285714285714286,9.58425422042634e-05,5,0,0
27-Apr-2020,8,354423,0.285714285714286,8.0613923395007e-05,3,43782,0.142857142857143,0.000326291952987855,3,133314,0.142857142857143,0.000107158395110148,16,298108,0.285714285714286,9.58425422042634e-05,5,0,0
28-Apr-2020,9,354423,0.285714285714286,8.0613923395007e-05,3,43782,0.142857142857143,0.000326291952987855,3,133314,0.142857142857143,0.000107158395110148,16,298108,0.428571428571429,0.000143763813306395,5,0,0
29-Apr-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0.142857142857143,0.000326291952987855,4,133314,0.142857142857143,0.000107158395110148,17,298108,0.428571428571429,0.000143763813306395,5,0,0
30-Apr-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0.142857142857143,0.000326291952987855,4,133314,0.142857142857143,0.000107158395110148,18,298108,0.428571428571429,0.000143763813306395,5,0,0
01-May-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0.142857142857143,0.000326291952987855,4,133314,0.142857142857143,0.000107158395110148,19,298108,0.428571428571429,0.000143763813306395,5,0,0
02-May-2020,9,354423,0,0,4,43782,0.142857142857143,0.000326291952987855,4,133314,0.142857142857143,0.000107158395110148,19,298108,0.428571428571429,0.000143763813306395,5,0,0
03-May-2020,9,354423,0,0,4,43782,0,0,4,133314,0,0,19,298108,0.285714285714286,9.58425422042634e-05,5,0,0
04-May-2020,9,354423,0,0,4,43782,0,0,4,133314,0,0,19,298108,0.142857142857143,4.79212711021317e-05,5,0,0
05-May-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,4,133314,0.142857142857143,0.000107158395110148,19,298108,0.142857142857143,4.79212711021317e-05,5,0,0
06-May-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,4,133314,0.285714285714286,0.000214316790220296,19,298108,0.285714285714286,9.58425422042634e-05,5,0,0
07-May-2020,9,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,4,133314,0.285714285714286,0.000214316790220296,19,298108,0.285714285714286,9.58425422042634e-05,5,0,0
08-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,5,133314,0.285714285714286,0.000214316790220296,20,298108,0.285714285714286,9.58425422042634e-05,5,0,0
09-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.285714285714286,0.000214316790220296,21,298108,0.428571428571429,0.000143763813306395,5,0,0
10-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.285714285714286,0.000214316790220296,21,298108,0.428571428571429,0.000143763813306395,5,0,0
11-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.285714285714286,0.000214316790220296,21,298108,0.428571428571429,0.000143763813306395,5,0,0
12-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.142857142857143,0.000107158395110148,22,298108,0.285714285714286,9.58425422042634e-05,5,0,0
13-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0,0,22,298108,0.142857142857143,4.79212711021317e-05,5,0,0
14-May-2020,10,354423,0.142857142857143,4.03069616975035e-05,4,43782,0,0,6,133314,0.142857142857143,0.000107158395110148,22,298108,0.285714285714286,9.58425422042634e-05,5,0,0
