Time,wht_epiestimR,asn_epiestimR,ltn_epiestimR
27-Feb-2020,NaN,NaN,NaN
28-Feb-2020,NaN,NaN,NaN
29-Feb-2020,NaN,NaN,NaN
01-Mar-2020,NaN,NaN,NaN
02-Mar-2020,NaN,NaN,NaN
03-Mar-2020,NaN,NaN,NaN
04-Mar-2020,NaN,NaN,NaN
05-Mar-2020,NaN,NaN,NaN
06-Mar-2020,NaN,NaN,NaN
07-Mar-2020,NaN,NaN,NaN
08-Mar-2020,NaN,NaN,NaN
09-Mar-2020,NaN,NaN,NaN
10-Mar-2020,NaN,NaN,NaN
11-Mar-2020,NaN,NaN,NaN
12-Mar-2020,NaN,NaN,NaN
13-Mar-2020,NaN,NaN,NaN
14-Mar-2020,NaN,NaN,NaN
15-Mar-2020,NaN,NaN,NaN
16-Mar-2020,NaN,NaN,NaN
17-Mar-2020,NaN,NaN,NaN
18-Mar-2020,NaN,NaN,NaN
19-Mar-2020,NaN,NaN,NaN
20-Mar-2020,NaN,NaN,NaN
21-Mar-2020,NaN,NaN,NaN
22-Mar-2020,NaN,NaN,NaN
23-Mar-2020,NaN,NaN,NaN
24-Mar-2020,NaN,NaN,NaN
25-Mar-2020,NaN,NaN,NaN
26-Mar-2020,NaN,NaN,NaN
27-Mar-2020,NaN,NaN,NaN
28-Mar-2020,NaN,NaN,NaN
29-Mar-2020,NaN,NaN,NaN
30-Mar-2020,NaN,NaN,NaN
31-Mar-2020,NaN,NaN,NaN
01-Apr-2020,NaN,NaN,NaN
02-Apr-2020,NaN,NaN,NaN
03-Apr-2020,NaN,NaN,NaN
04-Apr-2020,NaN,NaN,NaN
05-Apr-2020,NaN,NaN,NaN
06-Apr-2020,NaN,NaN,NaN
07-Apr-2020,NaN,NaN,NaN
08-Apr-2020,NaN,NaN,NaN
09-Apr-2020,NaN,NaN,NaN
10-Apr-2020,NaN,NaN,NaN
11-Apr-2020,NaN,NaN,NaN
12-Apr-2020,NaN,NaN,NaN
13-Apr-2020,NaN,NaN,NaN
14-Apr-2020,NaN,NaN,NaN
15-Apr-2020,NaN,NaN,NaN
16-Apr-2020,NaN,NaN,NaN
17-Apr-2020,NaN,NaN,NaN
18-Apr-2020,1.53005423683366,1.73078499058294,2.05676698667954
19-Apr-2020,0.789672632549219,0.748089194756452,1.00024383948576
20-Apr-2020,0.755077690433482,0.607435655589402,0.988619893666168
21-Apr-2020,2.26683052313065,1.7261464913796,1.3785134199729
22-Apr-2020,2.33812029954666,1.84783489262173,1.3577418694754
23-Apr-2020,0.919525418235445,0.959786938298425,1.25710339147793
24-Apr-2020,0.70955956963757,0.85162842807229,1.15458651170495
25-Apr-2020,0.519198557847936,0.719294181080133,0.988638158710401
26-Apr-2020,0.460746955442129,0.567102021628572,0.707834940592563
27-Apr-2020,0.626140341365333,0.684935143709895,0.676792876507447
28-Apr-2020,1.00380161344133,0.937900766710933,1.0175986149208
29-Apr-2020,1.50502655236772,1.14643454825652,1.39025236834705
30-Apr-2020,1.47696101213418,1.32328435634784,1.56720634195608
01-May-2020,1.03725465228287,1.23551663697131,1.56892602789303
02-May-2020,1.1161090020749,1.17242551451906,1.54212424054395
03-May-2020,1.00356110099982,0.943330684251521,1.19003907063057
04-May-2020,0.556827892808227,0.58581198101241,0.637546863240368
05-May-2020,0.796381995088795,0.844256978724087,1.02997310070799
06-May-2020,0.943138014200465,1.03553841704332,1.27832287623357
07-May-2020,0.873846471727632,1.03086970212259,0.994544091459615
08-May-2020,0.837152062873749,1.03175249731412,1.02616985784759
09-May-2020,0.895772177280348,0.957647859098967,1.07619151357555
10-May-2020,0.900424799939792,0.923788562552365,0.848166653854585
11-May-2020,0.671878674169576,0.748160140316866,0.615945128702441
12-May-2020,0.935041566209002,0.909830213554005,0.986789682835975
13-May-2020,1.78377670237161,1.26459957860502,1.41278693719614
14-May-2020,2.14209595866272,1.12382938823286,1.64855691917044
15-May-2020,1.34649477517866,1.29905580738986,1.53736420042452
16-May-2020,1.06585543460869,1.86450731878938,1.35276942970958
17-May-2020,0.869178529352459,1.62400196367316,0.91600166769363
18-May-2020,0.968148982990049,0.797259609103282,0.579327289029149
19-May-2020,1.13608103266026,0.60223900736118,0.852749914202519
20-May-2020,0.934002221083793,0.744829248795007,1.18917223118382
21-May-2020,1.11644286581983,0.870424424282848,1.21319665548561
22-May-2020,1.09863297109575,0.96320592269019,1.1605851418277
23-May-2020,0.867018679539187,0.758939526158945,1.09710178876354
24-May-2020,0.674655703140077,0.581023418347387,0.778323467216203
25-May-2020,0.535362798819108,0.580962582607061,0.534500973715204
26-May-2020,0.558006303739629,0.741719988986834,0.709716821933578
27-May-2020,0.947452312214334,0.948594681483989,1.15446430233399
28-May-2020,1.24710237430061,1.10547487310606,1.41856172669705
29-May-2020,1.16718132637146,1.77013725161174,1.46265326566683
30-May-2020,1.81703960575216,1.91068068508802,1.52659690845299
31-May-2020,1.43615599618064,0.797866511429183,1.0091149522386
01-Jun-2020,0.581714284490095,0.391828859211463,0.486698507876615
02-Jun-2020,0.886249403836588,0.705633690434798,0.718580507528601
03-Jun-2020,1.05534494463203,0.93509397601843,0.983941672001523
04-Jun-2020,1.2919218435695,1.43697437910969,1.34509185707777
05-Jun-2020,1.23888862133844,1.48326749688206,1.52004906226095
06-Jun-2020,0.953434163822142,1.01226798028711,1.42304652784003
07-Jun-2020,0.806521871036176,0.773953296256909,1.10880990377511
08-Jun-2020,0.649706042596903,0.587024129860565,0.962725765874763
09-Jun-2020,0.843698279005486,0.743991287760671,1.23241801304658
